11:57:59.805 [main] INFO  edu.epam.threads.main.Main - 0.0
12:09:13.362 [pool-1-thread-13] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.362 [pool-1-thread-14] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.362 [pool-1-thread-9] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.346 [pool-1-thread-10] INFO  edu.epam.threads.entity.Ferry - added to query 9.0
12:09:13.362 [pool-1-thread-20] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.346 [pool-1-thread-22] INFO  edu.epam.threads.entity.Ferry - added to query 21.0
12:09:13.362 [pool-1-thread-7] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.362 [pool-1-thread-23] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.362 [pool-1-thread-28] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.365 [pool-1-thread-10] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.365 [pool-1-thread-22] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.791 [pool-1-thread-23] INFO  edu.epam.threads.entity.Ferry - added to query 22.0
12:10:48.791 [pool-1-thread-7] INFO  edu.epam.threads.entity.Ferry - added to query 6.0
12:10:48.791 [pool-1-thread-17] INFO  edu.epam.threads.entity.Ferry - added to query 16.0
12:10:48.791 [pool-1-thread-15] INFO  edu.epam.threads.entity.Ferry - added to query 14.0
12:10:48.791 [pool-1-thread-13] INFO  edu.epam.threads.entity.Ferry - added to query 12.0
12:10:48.791 [pool-1-thread-18] INFO  edu.epam.threads.entity.Ferry - added to query 17.0
12:10:48.791 [pool-1-thread-22] INFO  edu.epam.threads.entity.Ferry - added to query 21.0
12:10:48.791 [pool-1-thread-8] INFO  edu.epam.threads.entity.Ferry - added to query 7.0
12:10:48.810 [pool-1-thread-23] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.810 [pool-1-thread-22] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.790 [pool-1-thread-29] INFO  edu.epam.threads.entity.Ferry - added to vehicles 28.0, Free space 42.0
12:10:48.791 [pool-1-thread-27] INFO  edu.epam.threads.entity.Ferry - added to query 26.0
12:10:48.810 [pool-1-thread-8] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.789 [pool-1-thread-1] INFO  edu.epam.threads.entity.Ferry - added to vehicles 0.0, Free space 0.0
12:10:48.813 [pool-1-thread-27] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.791 [pool-1-thread-11] INFO  edu.epam.threads.entity.Ferry - added to vehicles 10.0, Free space 70.0
12:10:48.791 [pool-1-thread-24] INFO  edu.epam.threads.entity.Ferry - added to query 23.0
12:10:48.813 [pool-1-thread-17] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.813 [pool-1-thread-7] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.791 [pool-1-thread-20] INFO  edu.epam.threads.entity.Ferry - added to query 19.0
12:10:48.813 [pool-1-thread-15] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.814 [pool-1-thread-20] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.791 [pool-1-thread-6] INFO  edu.epam.threads.entity.Ferry - added to query 5.0
12:10:48.813 [pool-1-thread-24] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.814 [pool-1-thread-6] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.791 [pool-1-thread-28] INFO  edu.epam.threads.entity.Ferry - added to vehicles 27.0, Free space 15.0
12:10:48.791 [pool-1-thread-12] INFO  edu.epam.threads.entity.Ferry - added to query 11.0
12:10:48.814 [pool-1-thread-18] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.814 [pool-1-thread-12] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.791 [pool-1-thread-30] INFO  edu.epam.threads.entity.Ferry - added to vehicles 29.0, Free space 70.0
12:10:48.791 [pool-1-thread-2] INFO  edu.epam.threads.entity.Ferry - added to vehicles 1.0, Free space 99.0
12:10:48.791 [pool-1-thread-19] INFO  edu.epam.threads.entity.Ferry - added to query 18.0
12:10:48.791 [pool-1-thread-9] INFO  edu.epam.threads.entity.Ferry - added to query 8.0
12:10:48.790 [pool-1-thread-25] INFO  edu.epam.threads.entity.Ferry - added to query 24.0
12:10:48.814 [pool-1-thread-25] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.814 [pool-1-thread-9] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.814 [pool-1-thread-23] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:48.813 [pool-1-thread-13] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.814 [pool-1-thread-18] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:48.791 [pool-1-thread-14] INFO  edu.epam.threads.entity.Ferry - added to query 13.0
12:10:48.814 [pool-1-thread-19] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.791 [pool-1-thread-16] INFO  edu.epam.threads.entity.Ferry - added to vehicles 15.0, Free space 0.0
12:10:48.814 [pool-1-thread-14] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.814 [pool-1-thread-12] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:48.814 [pool-1-thread-6] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:48.814 [pool-1-thread-20] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:48.791 [pool-1-thread-10] INFO  edu.epam.threads.entity.Ferry - added to query 9.0
12:10:48.814 [pool-1-thread-15] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:48.814 [pool-1-thread-24] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:48.814 [pool-1-thread-19] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:48.814 [pool-1-thread-10] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.791 [pool-1-thread-21] INFO  edu.epam.threads.entity.Ferry - added to query 20.0
12:10:48.818 [pool-1-thread-27] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:48.818 [pool-1-thread-8] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:48.818 [pool-1-thread-21] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.814 [pool-1-thread-17] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:48.791 [pool-1-thread-4] INFO  edu.epam.threads.entity.Ferry - added to query 3.0
12:10:48.814 [pool-1-thread-7] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:48.818 [pool-1-thread-22] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:48.790 [pool-1-thread-26] INFO  edu.epam.threads.entity.Ferry - added to query 25.0
12:10:48.791 [pool-1-thread-5] INFO  edu.epam.threads.entity.Ferry - added to query 4.0
12:10:48.818 [pool-1-thread-4] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.819 [pool-1-thread-4] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:48.819 [pool-1-thread-5] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.814 [pool-1-thread-15] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:48.819 [pool-1-thread-26] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:10:48.818 [pool-1-thread-27] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:48.818 [pool-1-thread-7] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:48.819 [pool-1-thread-5] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:10:54.819 [pool-1-thread-13] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.819 [pool-1-thread-23] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.819 [pool-1-thread-18] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.819 [pool-1-thread-20] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.819 [pool-1-thread-12] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.819 [pool-1-thread-13] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.819 [pool-1-thread-6] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.819 [pool-1-thread-9] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.819 [pool-1-thread-14] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.820 [pool-1-thread-23] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.820 [pool-1-thread-12] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.819 [pool-1-thread-25] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.820 [pool-1-thread-18] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.820 [pool-1-thread-6] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.820 [pool-1-thread-14] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.820 [pool-1-thread-20] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.820 [pool-1-thread-25] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.820 [pool-1-thread-9] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.826 [pool-1-thread-27] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.826 [pool-1-thread-15] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.826 [pool-1-thread-7] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.826 [pool-1-thread-5] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.826 [pool-1-thread-10] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.827 [pool-1-thread-15] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.827 [pool-1-thread-7] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.826 [pool-1-thread-26] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.826 [pool-1-thread-4] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.827 [pool-1-thread-5] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.827 [pool-1-thread-10] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.826 [pool-1-thread-8] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.826 [pool-1-thread-21] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.827 [pool-1-thread-26] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.827 [pool-1-thread-24] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.827 [pool-1-thread-8] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.826 [pool-1-thread-27] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.827 [pool-1-thread-21] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.827 [pool-1-thread-4] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.827 [pool-1-thread-24] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.827 [pool-1-thread-22] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.827 [pool-1-thread-19] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.827 [pool-1-thread-17] INFO  edu.epam.threads.entity.Ferry - Vehicles cleared
12:10:54.827 [pool-1-thread-22] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.827 [pool-1-thread-19] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:10:54.829 [pool-1-thread-17] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.WaitingState
12:16:18.316 [pool-1-thread-11] INFO  edu.epam.threads.entity.Ferry - added to query 10.0
12:16:18.316 [pool-1-thread-16] INFO  edu.epam.threads.entity.Ferry - added to query 15.0
12:16:18.316 [pool-1-thread-2] INFO  edu.epam.threads.entity.Ferry - added to query 1.0
12:16:18.316 [pool-1-thread-29] INFO  edu.epam.threads.entity.Ferry - added to vehicles 28.0, Free space 25.0
12:16:18.315 [pool-1-thread-23] INFO  edu.epam.threads.entity.Ferry - added to query 22.0
12:16:18.316 [pool-1-thread-17] INFO  edu.epam.threads.entity.Ferry - added to vehicles 16.0, Free space 82.0
12:16:18.316 [pool-1-thread-30] INFO  edu.epam.threads.entity.Ferry - added to vehicles 29.0, Free space 53.0
12:16:18.316 [pool-1-thread-5] INFO  edu.epam.threads.entity.Ferry - added to query 4.0
12:16:18.316 [pool-1-thread-7] INFO  edu.epam.threads.entity.Ferry - added to query 6.0
12:16:18.316 [pool-1-thread-24] INFO  edu.epam.threads.entity.Ferry - added to query 23.0
12:16:18.316 [pool-1-thread-8] INFO  edu.epam.threads.entity.Ferry - added to query 7.0
12:16:18.330 [pool-1-thread-7] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.316 [pool-1-thread-14] INFO  edu.epam.threads.entity.Ferry - added to query 13.0
12:16:18.316 [pool-1-thread-4] INFO  edu.epam.threads.entity.Ferry - added to query 3.0
12:16:18.316 [pool-1-thread-9] INFO  edu.epam.threads.entity.Ferry - added to query 8.0
12:16:18.330 [pool-1-thread-4] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.330 [pool-1-thread-24] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.315 [pool-1-thread-18] INFO  edu.epam.threads.entity.Ferry - added to query 17.0
12:16:18.316 [pool-1-thread-20] INFO  edu.epam.threads.entity.Ferry - added to query 19.0
12:16:18.330 [pool-1-thread-14] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.316 [pool-1-thread-25] INFO  edu.epam.threads.entity.Ferry - added to query 24.0
12:16:18.333 [pool-1-thread-20] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.333 [pool-1-thread-18] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.333 [pool-1-thread-25] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.316 [pool-1-thread-27] INFO  edu.epam.threads.entity.Ferry - added to query 26.0
12:16:18.316 [pool-1-thread-15] INFO  edu.epam.threads.entity.Ferry - added to query 14.0
12:16:18.334 [pool-1-thread-27] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.316 [pool-1-thread-12] INFO  edu.epam.threads.entity.Ferry - added to query 11.0
12:16:18.334 [pool-1-thread-15] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.334 [pool-1-thread-27] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:16:18.334 [pool-1-thread-12] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:16:18.316 [pool-1-thread-6] INFO  edu.epam.threads.entity.Ferry - added to query 5.0
12:16:18.334 [pool-1-thread-7] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:16:18.316 [pool-1-thread-22] INFO  edu.epam.threads.entity.Ferry - added to query 21.0
12:16:18.334 [pool-1-thread-18] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.RunningState
12:16:18.316 [pool-1-thread-3] INFO  edu.epam.threads.entity.Ferry - added to vehicles 2.0, Free space 98.0
12:16:18.316 [pool-1-thread-28] INFO  edu.epam.threads.entity.Ferry - added to query 27.0
12:16:18.316 [pool-1-thread-21] INFO  edu.epam.threads.entity.Ferry - added to query 20.0
12:16:18.334 [pool-1-thread-28] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
